Мазовецкая В В;Простые уроки рисования для начинающих ;Искусство;182
Мазовецкая В В;Самоучитель по рисованию красками. Шаг за шагом (+CD с видеокурсом) ;Искусство;249,2
Сонхайм К;Художественная мастерская: графика Art lab;Искусство;404,6
Тимохович А И;Самоучитель по рисованию. Шаг за шагом (+CD с видеокурсом)   ;Искусство;198,8
Форман Д;Художественная мастерская: живопись Art lab;Искусство;343
Штрицель Г;Интенсивный курс рисования. Объем и перспектива ;Искусство;214,2
Бейтман С;Символ Более 1300 логотипов и истории их создания;Искусство;798
Глейзер Д;Дизайн. Разработка проектов. Разбуди свое вдохновение! ;Искусство;735
Кениг П А;Графический рисунок для профессиональных дизайнеров ;Искусство;385
Краузе Д;30 идей для дизайнеров Тридцать дней креатива для вдохновения и карьерного роста;Искусство;371
Краузе Д;Разработка логотипа: большая книга дизайнерских идей, подходов и концепций ;Искусство;826
Лауэр Д;Основы дизайна ;Искусство;1050
Лидвелл У;Универсальные принципы дизайна ;Искусство;952
Луптон Э;Графический дизайн от идеи до воплощения ;Искусство;628,6
Мартин Б;Универсальные методы дизайна 100 эффективных решений для наиболее сложных проблем дизайна;Искусство;1008
Смикиклас М;Инфографика. Коммуникация и влияние при помощи изображений ;Искусство;609
Уайт К;101 полезная идея для художника и дизайнера ;Искусство;252
Уэйншенк С;100 главных принципов дизайна Как удержать внимание;Искусство;434
Шервин Д;Креативная мастерская: 80 творческих задач дизайнера ;Искусство;630
Эйри Д;Дизайн для души, бизнес для денег. Ответы на самые распространенные вопросы о запуске и ведении дизайнерского бизнеса ;Искусство;364
Элам К;Графический дизайн. Принцип сетки ;Искусство;525
Анисимов Е В;Императорская Россия ;История;819
Анисимов Е В;История России от Рюрика до Путина. Люди. События. Даты. 4-е издание, дополненное ;История;418,6
Анисимов Е В;Хронология российской истории. Россия и мир ;История;609
Бобраков О А;Будущее России. Алгоритм переворота ;История;217
Выскочков Л В;Будни и праздники императорского двора ;История;637
Корнеева Е А;Царство Путина. Неосталинизм по просьбам народа ;История;217
Мелентьев В Д;Фельдмаршалы Победы. Кутузов и Барклай де Толли ;История;364
Милюков  П Н;История второй русской революции. Предисловие и послесловие Николая Старикова ;История;483
Млечин Л М;Горбачев и Ельцин. Революция, реформы и контрреволюция ;История;336
Млечин Л М;Ленин. Соблазнение России ;История;315
Млечин Л М;Путин. Россия перед выбором ;История;336
Соболева И А;Победить Наполеона. Отечественная война 1812 года ;История;525
Сталин И В;О Великой Отечественной войне Советского Союза ;История;155,4
Андронова Е А;Все английские неправильные глаголы (Карточки) ;Иностранные языки;123,2
Белоконева С В;Русско-испанский разговорник для путешественников ;Иностранные языки;105
Брель Н М;Русско-английский разговорник для путешественников Happy Travel  ;Иностранные языки;91
Гивенталь И А;Как это сказать по-английски + CD Аудиокурс ;Иностранные языки;301
Килеева В А;Французский язык для детей + CD ;Иностранные языки;357
Киселева З А;Английский без проблем. Грамматика и разговорные темы ;Иностранные языки;308
Константинова И Г;Русско-итальянский разговорник для путешественников ;Иностранные языки;105
Миллер Л В;Политехнический русский Учебник по русскому языку как иностранному для технических специальностей;Иностранные языки;224
Московцев Н Г;Вашу мать, босс! Путеводитель по международной офисной жизни: сленг, общение, переписка + CD  Образцы писем и документов;Иностранные языки;252
Погосян В А;Английский язык для педагогов. Учебное пособие ;Иностранные языки;455
Погосян В А;Говорим чисто по-английски+ CD ;Иностранные языки;112
Погосян В А;Заполнение деловых бумаг на английском языке ;Иностранные языки;135,8
Пославская Н А;Русско-французский разговорник для путешественников. Bon Voyage  ;Иностранные языки;91
Силван К;Русско-финский разговорник для путешественников ;Иностранные языки;105
Соколовский А А;Русско-польский разговорник для путешественников ;Иностранные языки;84
Соловьева А В;Профессиональный перевод с помощью компьютера (+CD) ;Иностранные языки;268,8
Тивилёва Е Н;Английский в кармане. Самые ходовые слова и выражения ;Иностранные языки;70
Аттали Ж;Краткая история будущего Мир в ближайшие 50 лет. Политический прогноз;Публицистика;308
Беляев Д П;Разруха в головах. Информационная война против России ;Публицистика;278,6
Беляев Д П;Разруха в головах. Информационная война против России (мягк. обл.) ;Публицистика;161
Зыкин Д Л;Как оболгали великую историю нашей страны. С предисловием Николая Старикова Тайны Цусимы, Порт-Артура и революции;Публицистика;275,8
Зыкин Д Л;Как оболгали великую историю нашей страны. С предисловием Николая Старикова (мягк. обл.) Тайны Цусимы, Порт-Артура и революции;Публицистика;161
Коровин В М;Третья мировая сетевая война ;Публицистика;306,6
Коровин В М;Удар по России. Геополитика и предчувствие войны ;Публицистика;294
Павлович С А;Как я украл миллион. Исповедь раскаявшегося кардера ;Публицистика;252
Пол Р;Покончить с ФРС ;Публицистика;301
Предисловие Николая Старикова;Адмирал Колчак. Протоколы допроса. Предисловие Николая Старикова Протоколы заседаний Чрезвычайной следственной комиссии (21 января — 6 февраля 1920 г.);Публицистика;294
Предисловие Николая Старикова;Адмирал Колчак. Протоколы допроса. Предисловие Николая Старикова (мягк. обл.) Протоколы заседаний Чрезвычайной следственной комиссии (21 января — 6 февраля 1920 г.);Публицистика;161
Стариков Н. , составитель;"Белая Россия А.В. Туркул ""Дроздовцы в огне"", А.И. Куприн ""Купол Св. Исаакия Далматского""";Публицистика;278,6
Стариков Н. , составитель;Неизвестная революция: Сборник произведений Джона Рида/Составление и предисловия Н. Старикова ;Публицистика;315
Стариков Н. , составитель;Переписка И. Сталина с У. Черчиллем и К. Эттли (июль 1941 г. –  ноябрь 1945 г.). Предисловие Николая Старикова  ;Публицистика;343
Стариков Н. , составитель;Так говорил Сталин Статьи и выступления Составитель, автор вступительной статьи Н. Стариков;Публицистика;264,6
Агеев Д В;Большая книга гитариста. Техника игры + 100 хитовых песен (+DVD с видеокурсом)  ;Музыка;406
Агеев Д В;Песенник гитариста (+СD с обучающими аудиотреками)  ;Музыка;280
Агеев Д В;Песенник гитариста. Лучшие армейские песни ;Музыка;138,6
Агеев Д В;Песенник гитариста. Лучшие дворовые песни ;Музыка;138,6
Агеев Д В;Песенник гитариста. Лучшие песни из кинофильмов ;Музыка;138,6
Агеев Д В;Песенник гитариста. Шансон ;Музыка;138,6
Агеев Д В;Полный справочник гитарных аккордов ;Музыка;278,6
Герольд К В;Самоучитель игры на синтезаторе (+CD c видеокурсом) ;Музыка;252
Аппс Д;Чтобы слушали и слышали! Влияние вашего голоса ;Психология;245
Мельник Л С;Жесткие переговоры. Победа любой ценой ;Психология;280
Накамото С;Гений общения. Как им стать? ;Психология;208,6
Пири М;Железные аргументы. Победа, даже если ты не прав ;Психология;194,6
Собель Э;Мощные вопросы. Секретное оружие общения ;Психология;418,6
Чалдини Р;Психология влияния. Миссия выполнима ;Психология;175
Чалдини Р;Психология влияния. Убеждай, воздействуй, защищайся ;Психология;250,6
Шейнов В П;Говорить «нет», не испытывая чувства вины ;Психология;168
Экман П;Психология лжи. Обмани меня, если сможешь ;Психология;264,6
Экман П;Психология эмоций. Я знаю, что ты чувствуешь ;Психология;233,8
Экман П;Узнай лжеца по выражению лица ;Психология;257,6
Юнг Р;Психология убеждения. Главные секреты влияния на людей ;Психология;266
Бельтюкова Н;Папье-маше Книга с картинками о технике, про которую все слышали, но мало кто знает;Рукоделие;175
Верхола А В;Волшебный фетр. Делаем игрушки вместе с мамой ;Рукоделие;217
Верхола А В;Флористическая живопись. Картины из цветов и листьев своими руками ;Рукоделие;441
Верхола А В;Чудеса из природных материалов. Делаем вместе с мамой ;Рукоделие;175
Войнатовская Е Г;Авторская текстильная кукла: мастер-классы и выкройки от Nkale ;Рукоделие;490
Войнатовская Е Г;Текстильные ангелы-хранители: мастер-классы и выкройки от Nkale ;Рукоделие;63
Войнатовская Е Г;Чердачные куклы: мастер-классы и выкройки от Nkale ;Рукоделие;63
Гриднева Е Н;Куклы из ткани: лучшие модели ;Рукоделие;511
Гриднева Е Н;Куколки из ткани и трикотажа. Мастер-классы и выкройки ;Рукоделие;63
Гриднева Е Н;Лошадки и пони из ткани и трикотажа. Мастер-классы и выкройки ;Рукоделие;63
Данилова А Ю;Делаем открытки и подарки вместе с мамой. Оригинальные бумажные техники  ;Рукоделие;175
Данилова А Ю;Объемные игрушки из картона. Гофроквиллинг для детей и родителей ;Рукоделие;175
Лаврентьева Е В;Авторская чулочная кукла. Забавные коты Скульптурно-текстильная техника;Рукоделие;175
Макурова Т В;Мягкие игрушки для малышей своими руками. Мамочкина игровая ;Рукоделие;177,8
Мещерякова А А;Бижутерия своими руками + DVD Мастер-класс за час ;Рукоделие;414,4
Мудрагель Л;Куклы большие и маленькие. Копии старинных кукол своими руками ;Рукоделие;511
Мудрагель Л;Куклы из текстиля и трикотажа. История, коллекционирование, изготовление  ;Рукоделие;490
Мудрагель Л Д;Куклы из фарфора и папье-маше. Изготовление, коллекционирование, реставрация ;Рукоделие;490
Мудрагель Л Д;Мишка Тедди и компания ;Рукоделие;511
Ракитянская Е А;Цветы из шелка. Изысканные аксессуары своими руками ;Рукоделие;441
Ракитянская Е А;Шелковая флористика. Основы мастерства ;Рукоделие;63
Серова  В В;Фигурки из бумаги. Модульное оригами ;Рукоделие;413
Скляренко О А;Шьем Тедди-малышей и их друзей ;Рукоделие;490
Смирнова Е В;Игрушки из шерсти шаг за шагом. Техника валяния ;Рукоделие;490
Смирнова Е В;Игрушки из шерсти: пошаговый мастер-класс ;Рукоделие;54,6
Смирнова Е В;Игрушки своими руками. Сухое объемное валяние ;Рукоделие;490
Смирнова Е В;Коты, котики, котята и котэ. Валяные игрушки своими руками ;Рукоделие;490
Смирнова Е В;Оригинальный войлок. Техника мокрого валяния ;Рукоделие;469
Хошабова Е А;Комплект: Украшения из войлока: пошаговый мастер-класс + Зверюшки из войлока: пошаговый мастер-класс ;Рукоделие;70
Шелест З;Вяжем для малыша ;Рукоделие;301
Шелест З;Вяжем симпатичных медвежат ;Рукоделие;65,8
Дан О В;Лифтинг-гимнастика для лица, шеи и декольте 10 минут в день для молодости и красоты;Спорт;107,8
Калиниченко Н М;Курс шахматных окончаний ;Спорт;516,6
Калиниченко Н М;Практикум по шахматной тактике. Завлечение ;Спорт;231
Калиниченко Н М;Практикум по шахматной тактике. Решебник ;Спорт;161
Лисс М;Минимум жира, максимум мышц! ;Спорт;189
Лужковская Ю;Восстанавливающая гимнастика для сосудов ;Спорт;82,6
Мазовецкая В В;Гимнастика для внутренних органов (+CD с видеокурсом упражнений) ;Спорт;130,2
Маматов А С;Как защитить себя в уличной драке  Запрещенные хулиганские приемы;Спорт;245
Мешалкин В Э;Оздоровительно-боевая система «Белый Медведь» +DVD с видеокурсом ;Спорт;270,2
Полетаева А;Скандинавская ходьба. Здоровье легким шагом  ;Спорт;91
Полетаева А;Скандинавская ходьба. Секреты известного тренера ;Спорт;273
Тихомирова И В;Пресс-гимнастика. 2-е издание 10 минут в день — на 10 сантиметров стройнее;Спорт;86,8
Уэйд П;Тренировочная зона 2. Продвинутые техники физических тренировок Победить себя, чтобы выжить;Спорт;404,6
Уэйд П;Тренировочная зона. Секретная система физических тренировок Победить себя, чтобы выжить;Спорт;357
Хасанова Л Р;Теннис для начинающих. Книга-тренер ;Спорт;208,6
Андреева К А;Лидогенерация. Маркетинг, который продает ;Маркетинг;411,6
Ашманов И С;Оптимизация и продвижение сайтов в поисковых системах (+CD) 3-е изд. ;Маркетинг;525
Бабаев А Б;Раскрутка: секреты эффективного продвижения сайтов ;Маркетинг;490
Бабаев А Б;Создание сайтов ;Маркетинг;490
Белый С;55 способов привлечь миллион клиентов ;Маркетинг;224
Божук С Г;Маркетинг: Учебник для вузов. 4-е изд. Стандарт третьего поколения ;Маркетинг;588
Дёмин Д И;E-mail-маркетинг. Как привлечь и удержать клиентов ;Маркетинг;352,8
Иванов Л А;Книга директора по маркетингу ;Маркетинг;219,8
Капон Н;Управление маркетингом: Учебник для вузов ;Маркетинг;733,6
Климин А И;Медиапланирование своими силами. Готовые маркетинговые решения (+ CD) ;Маркетинг;201,6
Котлер Ф;Маркетинг для государственных и общественных организаций ;Маркетинг;523,6
Котлер Ф;Маркетинг менеджмент. 14-е изд.  ;Маркетинг;1257,2
Ловелл Н;Кривая спроса. Как умные компании находят ценных клиентов ;Маркетинг;530,6
Мрочковский Н С;Генератор новых клиентов. 99 способов массового привлечения покупателей ;Маркетинг;273
Мрочковский Н С;Интернет-маркетинг без бюджета. Как продвигать, если денег нет или их мало (+вебинар) ;Маркетинг;336
Румянцев Д В;Продвижение бизнеса в ВКонтакте. Быстро и с минимальными затратами ;Маркетинг;266
Сачук Т В;Территориальный маркетинг: Учебное пособие ;Маркетинг;305,2
Фатхутдинов Р А;Стратегический маркетинг: Учебник для вузов.  5-е издание ;Маркетинг;338,8
Шведова И А;Книга директора по маркетингу производственного предприятия (+CD) ;Маркетинг;432,6
Азимов С А;Комплект(2в1) Продажи, переговоры + Мастерство продажи (Аудиокнига) Практика. Примеры;Продажи;280
Азимов С А;Продажи, переговоры Практика. Примеры;Продажи;210
Барышева А В;Продажи по-взрослому: 19 инструментов управления ;Продажи;315
Гитомер Д;Звон монет! Маленькая платиновая книга: 32,5 стратегии привлечения денег и личного успеха ;Продажи;414,4
Колотилов Е А;Не давайте скидок! Современные техники продаж ;Продажи;196
Крам Т;Вишенка на вашем торте. Сервис, который понравится вашим клиентам ;Продажи;350
Молодов В В;Жми на деньги! Активные продажи в социальных сетях  ;Продажи;252
Парабеллум А;Технология продаж. Как зарабатывать неприлично много денег ;Продажи;266
Паринелло Э;Как продавцу найти своего покупателя и обойти его право вето ;Продажи;47,6
Соловьев Д С;Интернет-магазин без правил ;Продажи;210
Бакшт К А;Большие контракты. 2-е издание ;Продажи;532
Бакшт К А;Вкус жизни: как достигать успеха, финансовой свободы и управлять своей судьбой. 2-е изд. ;Продажи;630
Бакшт К А;Как загубить собственный бизнес: вредные советы российским предпринимателям. 2-е изд. ;Продажи;399
Бакшт К А;Охота за головами. Технологии эффективного набора кадров: конкурс, дефицит, вербовка, кадровый ассессмент ;Продажи;630
Бакшт К А;"Построение бизнеса услуг: с ""нуля"" до доминирования на рынке ";Продажи;558,6
Бакшт К А;Продажи и производство: враги или партнеры? Почему срывается исполнение заказов, компания теряет деньги – и как этого избежать?;Продажи;350
